Sample	Mechanism	Hits
SRR8902718	Acid resistance protein	640
SRR8902718	Aminocoumarin-resistant DNA topoisomerases	763
SRR8902718	Aminoglycoside N-acetyltransferases	160
SRR8902718	Aminoglycoside O-phosphotransferases	1212
SRR8902718	Aminoglycoside-resistant 16S ribosomal subunit protein	6181
SRR8902718	Arsenic resistance protein	1099
SRR8902718	Biguanide cation efflux	558
SRR8902718	Cationic peptide-resistant 16S ribosomal subunit protein	660
SRR8902718	Chloramphenicol acetyltransferases	1678
SRR8902718	Class A betalactamases	2112
SRR8902718	Class D betalactamases	393
SRR8902718	Colistin phosphoethanolamine transferase	1673
SRR8902718	Copper resistance protein	2747
SRR8902718	Copper resistance regulator	1354
SRR8902718	Dihydrofolate reductase	824
SRR8902718	Drug and biocide ABC efflux regulator	351
SRR8902718	Drug and biocide MFS efflux pumps	1543
SRR8902718	Drug and biocide MFS efflux regulator	107
SRR8902718	Drug and biocide RND efflux pumps	1790
SRR8902718	Drug and biocide RND efflux regulator	1542
SRR8902718	Drug and biocide SMR efflux pumps	814
SRR8902718	Drug and biocide SMR efflux regulator	633
SRR8902718	EF-Tu inhibition	1102
SRR8902718	Fluoroquinolone-resistant DNA topoisomerases	2575
SRR8902718	Fosfomycin target mutation	925
SRR8902718	Fosfomycin thiol transferases	123
SRR8902718	MDR acetyltransferase	196
SRR8902718	MDR mutant porin proteins	530
SRR8902718	Macrolide phosphotransferases	506
SRR8902718	Macrolide-resistant 23S rRNA mutation	12398
SRR8902718	Multi-biocide RND efflux pump	1071
SRR8902718	Multi-biocide resistance protein	423
SRR8902718	Multi-biocide resistance regulator	837
SRR8902718	Multi-drug ABC efflux pumps	965
SRR8902718	Multi-drug RND efflux pumps	142
SRR8902718	Multi-drug RND efflux regulator	554
SRR8902718	Multi-metal ABC efflux pumps	361
SRR8902718	Multi-metal RND efflux pumps	5700
SRR8902718	Multi-metal RND efflux regulator	1079
SRR8902718	Multi-metal resistance protein	3442
SRR8902718	Multi-metal resistance regulator	292
SRR8902718	Mutant porin proteins	1106
SRR8902718	Penicillin binding protein	415
SRR8902718	Peroxide resistance stress protein	118
SRR8902718	Quinolone resistance protein Qnr	151
SRR8902718	Rifampin-resistant beta-subunit of RNA polymerase RpoB	1978
SRR8902718	Sulfonamide-resistant dihydropteroate synthases	1017
SRR8902718	Triclosan-resistant mutation	195
SRR8902718	peroxide resistance protein	243
